book_title,book_author,publisher
The Little Book of Encouragement,"H.H. the Dalai Lama, edited by Renuka Singh","[' Penguin Viking, 2021']"
Our Only Home - A Climate Appeal to the World,H.H. the Dalai Lama and Franz Alt,"['Hanover Press, 2020']"
"Science and Philosophy in the Indian Buddhist Classics, Vol. 2: The Mind","Conceived and Introduced by H.H. the Dalai Lama, edited by Thupten Jinpa, and Contextual Essays by John D. Dunne","['Published By Wisdom Publications, 2020']"
Inner World,H.H. the Dalai Lama,"['HitCo Entertainment and Khandro Music, 2020']"
The Seed of Compassion: Lessons from the Life and Teachings of His Holiness the Dalai Lama,"H.H. the Dalai Lama, Bao Luu (Illustrator)","['Kokila, 2020']"
Following in the Buddha’s Footsteps - Library of Wisdom and Compassion Vol 4,H.H. the Dalai Lama and Ven Thubten Chodron,"['Wisdom Publications, 2019']"
"Samsara, Nirvana, and Buddha Nature - Library of Wisdom and Compassion Vol 3",H.H. the Dalai Lama and Ven Thubten Chodron,"['Wisdom Publications, 2019']"
The Life of My Teacher: A Biography of Kyabjé Ling Rinpoché,H.H. the Dalai Lama,"['Wisdom Publications, 2018']"
"Ecology, Ethics, and Interdependence: The Dalai Lama in Conversation with Leading Thinkers on Climate Change",John Dunne and Daniel Goleman (editors),"['Wisdom Publications, 2018']"
The Foundation of Buddhist Practice - The Library of Wisdom and Compassion Vol 2,H.H. the Dalai Lama and Ven Thubten Chodron,"['Wisdom Publications, 2018']"
A Call for Revolution,H.H. the Dalai Lama and Sofia-Stril-Rever,"['HarperCollins, 2018']"
Happiness,H.H. the Dalai Lama,"['Penguin Random House India, 2018']"
"Science and Philosophy in the Indian Buddhist Classics, Vol. 1: The Physical World",Conceived and Introduced by H.H. the Dalai Lama and edited by Thupten Jinpa,"['Wisdom Publications, 2017']"
The Book of Joy Journal,"H.H. the Dalai Lama, Archbishop Desmond Tutu and Douglas Abrams","['Penguin Random House, 2017']"
Approaching the Buddhist Path - LIbrary of Wisdom and Compassion Vol 1,H.H. the Dalai Lama and Ven Thubten Chodron,"['Wisdom Publications, 2017']"
The Dalai Lama on Environment - Collected Statements 1987-2017,H.H. the Dalai Lama,"['Central Tibetan Administration, 2017']"
The Book of Joy,H.H. The Dalai Lama and Archbishop Desmond Tutu with Douglas Abrams,"['Penguin Random House, 2016']"
The Heart of Meditation,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Shambhala, 2016']"
"Buddhism: One Teacher, Many Traditions",H.H. the Dalai Lama and Ven Thubten Chodron,"['Wisdom Publications, 2014']"
A Force For Good: The Dalai Lama's Vision for Our World,Dan Goleman,"['Random House Publishing Group, 2015']"
The Wisdom of Compassion,H.H. the Dalai Lama and Victor Chan,"['Riverhead, 2013']"
Beyond Religion: Ethics for a Whole World,H.H. the Dalai Lama,"['Houghton Mifflin Harcourt, 2012']"
My Spiritual Autobiography,H.H. the Dalai Lama with Sofia Stril-rever,"['HarperOne, 2010']"
Toward a True Kinship of Faiths,H.H. the Dalai Lama,"['Doubleday, 2010']"
The Middle Way - Faith Grounded in Reason,"H.H. the Dalai Lama, translated by Thubten Jinpa","['Wisdom Publications, London, 2009']"
"Leaders' Way - Business, Buddhism and Happiness in an Interconnected World",H.H. the Dalai Lama and Laurens van den Muyzenberg,"['Nicholas Brearley, 2009']"
"All You Ever Wanted to Know About Happiness, Life and Living","H.H. the Dalai Lama, compiled by Rajiv Mehrotra","['Hay House, 2009']"
Art of Happiness in a Troubled World,H.H. the Dalai Lama and Howard C. Cutler,"['Doubleday, New York, 2009']"
Emotional Awareness,H.H. the Dalai Lama and Paul Ekman,"['Holt, 2009']"
Becoming Enlightened,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Rider, 2009']"
In My Own Words - An Introduction to My Teachings and Philosophy,"H.H. the Dalai Lama, edited by Rajiv Mehrotra","['Hay House, 2008']"
Dalai Lama at MIT,"H.H. the Dalai Lama, edited by Anne Harrington and Arthur Zajonc","['Harvard Univ Press, 2008']"
Mind in Comfort and Ease - The Vision of Enlightenment in the Great Perfection,H.H. the Dalai Lama,"['Wisdom Publications, London, 2007']"
Activating Bodhichitta and a Meditation on Compassion,H.H. the Dalai Lama,"['Library of Tibetan Works & Archives, Dharamsala, 2006']"
Teachings on Je Tsong Khapa's Three Pincipal Aspects of the Path,"H.H. the Dalai Lama, translated by Ven. Lhakdor and edited by Jeremy Russell","['Library of Tibetan Works & Archives, Dharamsala, 2006']"
Yoga Tantra - Paths to Magical Seats,"H.H. the Dalai Lama, Dzong-ka-ba and Jeffery Hopkins","['Snow Lion Publication, Ithaca, 2005']"
The Universe in a Single Atom - The Convergence of Science and Spirituality,H.H. the Dalai Lama,"['Morgan Road Books, New York, 2005']"
Widening the Circle of Love,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Rider, 2005']"
Art of Happiness at Work,H.H. the Dalai Lama and Howard C. Cutler,"['Riverhead Books, 2005']"
"Lighting the Path, Teachings on Wisdom and Compassion","H.H. the Dalai Lama, translated by Geshe Tubten Jinpa","['Lothian Books, 2005']"
"Path of Wisdom, Path of Peace - A Personal Conversation",H.H. the Dalai Lama and Felizitas Von Schoenborn,"['Crossroad Publishing, 2005']"
Many Ways to Nirvana,H.H. the Dalai Lama,"['Penguin Books, India, 2004']"
The Wisdom of Forgiveness,H.H. the Dalai Lama and Victor Chan,"['Riverhead Books, New York, 2004']"
Dzogchen: Heart Essence of the Great Perfection,H.H. the Dalai Lama,"['Snow Lion Publications, Ithaca, 2004']"
New Physics and Cosmology - Dialogues with the Dalai Lama,"H.H. the Dalai Lama, Arthur Zajonc and Zara Houshmand","['Oxford Univ Press, New York, 2004']"
Practicing Wisdom - The Perfection of Shantideva's Bodhisattva Way,"H.H. the Dalai Lama, translation by Geshe Tubten Jinpa","['Wisdom Publications, 2004']"
Destructive Emotions,H.H. the Dalai Lama and Daniel Goleman,"['Bloomsbury Publishing, 2004']"
The Compassionate Life,H.H. the Dalai Lama,"['Wisdom Publications, Boston, 2003']"
Warm Heart Open Mind,H.H. the Dalai Lama,"['The Dalai Lama Trust, New Zealand, 2003']"
365 - Dalai Lama Daily Advice from the Heart,"H.H. the Dalai Lama, edited by Mathieu Ricard","['Element, London, 2003']"
Heart of Compassion,H.H. the Dalai Lama,"['Lotus Press, 2003']"
Healing Emotions - Conversation with the Dalai Lama on Emotions and Health,H.H. the Dalai Lama,"['Shambhala Publications, 2003']"
Advice on Dying,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins","['Random House, London, 2002']"
Essence of the Heart Sutra,H.H. the Dalai Lama,"['Wisdom Publications, Boston, 2002']"
